Sr_No,Category,Date,Subject,Status
"1.3.4.24","ADMINISTRATION","13.06.2014","Instructions issued by Cabinet Secretary regarding submission of proposals for visits abroad by Ministries/Departments.","Pending"
"1.3.4.25","ADMINISTRATION","05.06.2012","Communication with media on NHAI issues","Pending"
"1.3.4.26","ADMINISTRATION","15.12.2015","Signing of the Concession Agreement/ Contract Agreement strictly as per the RFP documents.","Pending"
"1.3.4.27","ADMINISTRATION","26.02.2016","Providing for increase in wage ceilng under EPS;1995 from Rs.6;500/- to Rs. 15;000/- w.e.f. 01.09.2014.","Pending"
"1.3.4.28","ADMINISTRATION","01.12.2016","Policy Circular regarding foreign visit/ tours/delegation/training programmes.","Pending"
"1.3.4.29","ADMINISTRATION","25.04.2023","Institutional mechanism for redressal of Inter-Ministerial pending issues on NH projects","Pending"
"1.3.4.3","ADMINISTRATION","04.02.2008","Guidelines for issue of inspection notes by officials after site visit/tour","Pending"
"1.3.4.4","ADMINISTRATION","10.03.2008","Procedure for conveying approval from Headquarters","Pending"
"1.3.4.5","ADMINISTRATION","16.05.0008","Submission of questionnaire for inspection of PIUs/CMUs.","Pending"
"1.3.4.6","ADMINISTRATION","02.02.2009","Seeking ex-post facto approval-reg.","Pending"
"1.3.4.7","ADMINISTRATION","02.04.2012","Policy on issue of Policy Circulars.","Pending"
"1.3.4.8","ADMINISTRATION","05.06.2012","Communication with media on NHAI issues","Pending"
"1.3.4.9","ADMINISTRATION","13.09.2012","Approval of the mnutes of the evaluation committee meetings from concerned Competent Authority (member/ Chairman)","Pending"
"1.4.1","ADMINISTRATION","19.08.2002","Contract Labour (Regulation & Abolition) Act;1970 and Rules framed thereunder.","Pending"
"1.4.2","ADMINISTRATION","25.11.2002","Appointment of DGMs of NHAI by Govt of Haryana as Director","Pending"
"1.4.3","ADMINISTRATION","29.03.2007","Implementation of Building & Other construction workers Welfare Cess Act;1996 in NHAI.","Pending"
"1.4.4","ADMINISTRATION","26.02.2009","Applicability of Building and other construction workers (Regulation of employment and conditions of service) Act;1996 and The Building and other construction workers? Welfare Cess Act 1996- Projects finalized on Public Private Partnership (PPP) ? BOT- Annuity toll","Pending"
"1.4.5","ADMINISTRATION","08.03.2011","Ex-Gratia amount to the kins of workers looking their life due to accident at work site.","Pending"
"1.4.6","ADMINISTRATION","07.01.2014","Guidelines for compliance of provisions under the Contract Labour (Regulations & Abolition) Act;1970.","Pending"
"1.4.7","ADMINISTRATION","29.10.2014","Instruction to prevent misappropriation fo PS dues by the contracts","Pending"
"1.4.8","ADMINISTRATION","05.12.2014","Issue of Principal Employer in the matter of PPP-BOT Projects","Pending"
"1.5.1","ADMINISTRATION","17.03.2003","Bilingual Logo of NHAI","Pending"
"1.5.2","ADMINISTRATION","09.05.2006","New Incentive Scheme for promotion of the usage of Hindi in NHAI.","Pending"
"1.5.3","ADMINISTRATION","30.03.2007","Amendment in the New Incentive Scheme for promotion of the usage of Hindi in NHAI.","Pending"
"1.5.4","ADMINISTRATION","13.07.2011","Utilization of services of Private secretaries/Personal Assistants/ Stenographers who know Hindi Shorthand/Typing for increasing the use of Hindi in official work.","Pending"
"1.5.5","ADMINISTRATION","25.01.2012","Amendment in the New Incentive Scheme for promotion of the usage of Hindi in NHAI.","Pending"
"1.5.6","ADMINISTRATION","01.09.2022","अधिकारियों एवं कर्मचारियों के बच्‍चों के लिए हिंदी प्रोत्‍साहन पुरस्‍कार योजना (दो बच्‍चों तक सीमित) के अंतर्गत दावा राशि की समयावधि के संबंध में।","Pending"
"1.6.1","ADMINISTRATION","22.10.2002","Opening of site offices","Pending"
"1.6.2","ADMINISTRATION","03.04.2003","Setting up of permanent office/residential building of NHAI at different locations.","Pending"
"1.6.3","ADMINISTRATION","01.09.2009","Establishment of Regional Offices","Pending"
"1.6.4","ADMINISTRATION","15.07.2010","Creation of six Zonal Offices of NHAI","Pending"
"1.6.5","ADMINISTRATION","27.04.2023","NHAI Library Policy","Pending"
"1.6.6","ADMINISTRATION","11.10.2023","आरओएस/पीआईयू के संबंध में कार्यालय भवन के निर्माण के मानदंडों के मानकीकरण के संबंध में  Standardization of Norms of Construction of Office Building in respect of ROs/PIUs- reg.","Pending"
"1.6.7","ADMINISTRATION","17.05.2024","Creation of Corridor Management Units in PIUs-reg.","Pending"
"1.7.1.1","ADMINISTRATION","11.09.2006","Creation of Planning Cell and Quality Assurance Cell","Pending"
"1.7.1.10","ADMINISTRATION","15.07.2013","Constitution of reservation cell in NHAI","Pending"
"1.7.1.11","ADMINISTRATION","05.09.2013","Constitution of Settlement & Negotiation Committees reg.","Pending"
"1.7.1.12","ADMINISTRATION","10.10.2013","Reconstitution of Planning Cell as ? Planning and Statistics Cell?","Pending"
"1.7.1.13","ADMINISTRATION","10.10.2013","Reconstitution of Technology Induction Cell as ?Technology Induction Cell and Quality Assurance Cell?","Pending"
"1.7.1.14","ADMINISTRATION","30.12.2013","Constitution of complaints committee to inquire into complaints related to sexual harassment of women employees of NHAI at work place.","Pending"
"1.7.1.15","ADMINISTRATION","26.02.2014","Re-constitution of Reservation Cell of NHAI- available at NHAI website.","Pending"
"1.7.1.16","ADMINISTRATION","27.11.2015","Holding of Executive Committee meetings.","Pending"
"1.7.1.17","ADMINISTRATION","01.07.2022","Standing Committee for vetting of specifications pertaining to Intelligent Transportation Systems (ITS) - reg.","Pending"
"1.7.1.18","ADMINISTRATION","21.06.2023","Duties & Responsibilities of the Reservation Cell/ Liaison Officers-reg.","Pending"
"1.7.1.19","ADMINISTRATION","03.08.2023","डिज़ाइन प्रभाग स्थापित किया जाना।","Pending"
"1.7.1.2","ADMINISTRATION","11.09.2006","Creation of Contract Management Cell","Pending"
"1.7.1.20","ADMINISTRATION","27.12.2023","Re-constitution of Internal Complaints Committee (ICC) to inquire into complaints related to Sexual Harassment of Women Employees of NHAI at workplace – reg.","Pending"
"1.7.1.21","ADMINISTRATION","06.03.2024","Re-constitution of Internal Complaints Committee (ICC) to inquire into complaints related to Sexual Harassment of Women Employees of NHAI at Workplace – reg.","Pending"
"1.7.1.22","ADMINISTRATION","24.05.2024","Establishment of Detailed Project Report (DPR) Cell at NHAI HQ -reg.","Pending"
"1.7.1.23","ADMINISTRATION","04.07.2024","Hiring of Design Experts to Support Design Division - Reg.","Pending"
"1.7.1.24","ADMINISTRATION","29.07.2024","Creation of Asset Monetization Cell (AMC) at NHAI HQ","Pending"
"1.7.1.25","ADMINISTRATION","03.04.2025","Establishment of Detailed Project Report (DPR) Cell at NHAI HQ – Amendments in Policy Circular No. 1.7.1.22/2024 dated 24.05.2024 - reg.","Pending"
"1.7.1.3","ADMINISTRATION","11.09.2006","Creation of Standardization and R&D Cell","Pending"
"1.7.1.4","ADMINISTRATION","11.09.2006","Creation of Legal and Arbitration Cell","Pending"
"1.7.1.5","ADMINISTRATION","11.09.2006","Creation of Project Appraisal Cell","Pending"
"1.7.1.6","ADMINISTRATION","05.02.2008","Creation of interdepartmental committee for monitoring of projects on continuous basis for ensuring the time and cost bon implementation;monitoring performance of contractors/consultants.","Pending"
"1.7.1.7","ADMINISTRATION","30.05.2008","Constitution of complaints and other cell","Pending"
"1.7.1.8","ADMINISTRATION","29.12.2008","Activities to be performed by RSC;Design Review Unit;CMC","Pending"
"1.7.1.9","ADMINISTRATION","04.07.2012","Scheduling of Executive Committee meeting on Wednesday","Pending"
"1.7.2.1","ADMINISTRATION","18.04.2006","Duties and responsibilities of Project Directors","Pending"
"1.7.2.2","ADMINISTRATION","02.01.2007","Work Allocation to Chief General Managers- designated as State Nodal Officers.","Pending"
"1.7.2.3","ADMINISTRATION","09.09.2009","Duties/ responsibilities of regional officers","Pending"
"1.7.2.4","ADMINISTRATION","09.09.2009","Activities to be undertaken by Regional Office.","Pending"
"1.7.2.5","ADMINISTRATION","16.07.2012","Channel of submission of files of technical divisions","Pending"
"1.7.2.6","ADMINISTRATION","05.09.2012","Channel of submission of files of technical divisions","Pending"
"1.7.2.7","ADMINISTRATION","29.04.2013","Designating link officers at Members level","Pending"
"1.7.2.8","ADMINISTRATION","21.08.2024","Duties & Responsibilities of Project Directors- Clarification regarding Test Check by Authority","Pending"
"1.8.1","ADMINISTRATION","27.11.2006","Issue of Access control cards to the visitors","Pending"
"1.8.10","ADMINISTRATION","22.12.2015","Visit to NHAI HQ and MoRT&H.","Pending"
"1.8.2","ADMINISTRATION","04.09.2012","Attending the office in time and maintenance of attendance register.","Pending"
"1.8.3","ADMINISTRATION","09.07.2013","Taking permission for leaving station/ headquarters","Pending"
"1.8.4","ADMINISTRATION","10.02.2014","Display of Access Control Cards in office","Pending"
"1.8.5","ADMINISTRATION","19.01.2015","Registration of employees of NHAI on attendance.gov.in","Pending"
"1.8.6","ADMINISTRATION","06.02.2015","Aadhar enabled biometric system & punctuality of employees/staff","Pending"
"1.8.7","ADMINISTRATION","22.05.2015","Instruction regarding egress/ingress through bio-metric machines","Pending"
"1.8.8","ADMINISTRATION","28.07.2015","Monthly Report biometric attendance system (BAS)","Pending"
"1.8.9","ADMINISTRATION","26.11.2015","Monitoring of Attendance through bio-metric machines","Pending"
"1.9.1","ADMINISTRATION","16.02.2004","Guidelines on filing of documents and maintenance of records","Pending"
"1.9.10","ADMINISTRATION","08.11.2023","Record Retention Schedule and Digitization of Records in NHAI-reg.","Pending"
"1.9.2","ADMINISTRATION","20.08.2007","Guidelines on filing of documents and maintenance of records","Pending"
"1.9.3","ADMINISTRATION","18.08.2011","Record Keeping by Managers dealing with individual subjects","Pending"
"1.9.4","ADMINISTRATION","25.10.2013","Originating correspondence on files","Pending"
"1.9.5","ADMINISTRATION","30.04.2014","Record retention Schedule;Categorisation and Weeding out of Records.","Pending"
"1.9.6","ADMINISTRATION","30.09.2014","Record retention Schedule;Categorisation and Weeding out of Records for ROs/ Field Units.","Pending"
"1.9.7","ADMINISTRATION","11.03.2015","NHAI security instruction for handling all official documents.","Pending"
"1.9.8","ADMINISTRATION","09.05.2017","Style Sheet for letters & file notings and file management system.","Pending"
"1.9.9","ADMINISTRATION","28.11.2017","Record Retention Schedule of NHAI","Pending"
"2.1.1","ADMINISTRATION","18.02.2005","Procedure for referring the decision of DRE/DRB to Arbitration.","Pending"
"2.1.10","ADMINISTRATION","27.12.2012","Handling of arbitration cases by Legal & Arbitration Cell- clarifications on the role of the PD-PIU or his representative.","Pending"
"2.1.11","ADMINISTRATION","15.01.2013","Settlement of cases through conciliation in BOT projects.","Pending"
"2.1.12","ADMINISTRATION","15.02.2013","Re-constitution of 3 CGMs Settlement Negotiation Committee-reg.","Pending"
"2.1.13","ADMINISTRATION","9.5.2013","Standing committee constitution","Pending"
"2.1.14","ADMINISTRATION","13.5.2013","PPP and EPC (Item rate and turnkey) Projects Stakeholders Grievance Redressal Committees","Pending"
"2.1.15","ADMINISTRATION","24.5.2013","PPP and EPC Projects Stakeholders Grievance Redressal Committees","Pending"
"2.1.16","ADMINISTRATION","7.11.2013","One Time Settlement of Disputes/ claims of the Concessionaire/ Contractor through 3 CGMs Committee/ Independent Settlement Advisory Committee(ISAC).","Pending"
"2.1.17","ADMINISTRATION","12.11.2013","One time amicable settlement of all the disputes by 3 CGMs committee","Pending"
"2.1.18","ADMINISTRATION","04.04.2014","Compliance of Order/ judgement","Pending"
"2.1.19","ADMINISTRATION","09.04.2014","Filing of caveats to prevent ex-parte hearing by the courts.","Pending"
"2.1.2","ADMINISTRATION","25.08.2005","Settlement of disputes between the Ministries/ Departments or between the Public Sector Enterprises or between a Public Sector enterprise and a Ministry / Department of the Govt. of India.","Pending"
"2.1.20","ADMINISTRATION","01.06.2015","Induction of Shri Dev Raj;CGM(T) in place of Shri S.C. Jindal CGM(Tech) to head the 3 CGMs committee for negotiation and One Time Amicable Settlement of disputes/ claims pertianng to various contract packages.","Pending"
"2.1.21","ADMINISTRATION","26.04.2016","Constitution of Independent Settlement Advisory Committee (ISAC) - Dispute Resolution Mechanism - clarification reg.","Pending"
"2.1.22","ADMINISTRATION","01.06.2017","Contractual Dispute/ Claims- Standard Operating Procedure (SoP) for handling the arbitration matters and the court cases.","Pending"
"2.1.23","ADMINISTRATION","02.06.2017","Establishment of a Conciliation & Settlement Mechanism for Contractual Disputes under the contract agreements with the Contractors/Concessionaires/Consultants in NHAI - Panel of Independent Experts and Constitution of Conciliation Committees - regarding.","Pending"
"2.1.24","ADMINISTRATION","02.11.2017","Standard Operating Procedure (SOP) for Standing Committee-reg.","Pending"
"2.1.25","ADMINISTRATION","22.12.2017","Contractual Disputes/Claims - Standard Operating Procedure (SoP) for handling the arbitration matters and the court cases - Modifications.","Pending"
"2.1.26","ADMINISTRATION","26.02.2018","Modification in Standard Operationg Procedure for Standing Commiittee-reg.","Pending"
"2.1.27","ADMINISTRATION","18.07.2018","Modified Standard Operating Procedure for Conciliation/Amicable Settlement through Conciliation Committee of Independent Expert-reg.","Pending"
